0:0:0:0:0:0:0:1 - - [11/May/2015:20:41:48 +0800] "GET /JavaWebProject/left.jsp HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:07 +0800] "POST /JavaWebProject/login/login_CheckLogin.action HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:07 +0800] "GET /JavaWebProject/top.jsp HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:07 +0800] "GET /JavaWebProject/left.jsp HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:07 +0800] "GET /JavaWebProject/desk.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:13 +0800] "POST /JavaWebProject/login/login_CheckLogin.action HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:13 +0800] "GET /JavaWebProject/top.jsp HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:13 +0800] "GET /JavaWebProject/left.jsp HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:14 +0800] "GET /JavaWebProject/desk.jsp HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:32 +0800] "POST /JavaWebProject/login/login_CheckLogin.action HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:32 +0800] "GET /JavaWebProject/top.jsp HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:32 +0800] "GET /JavaWebProject/left.jsp HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:32 +0800] "GET /JavaWebProject/desk.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [11/May/2015:20:42:42 +0800] "POST /JavaWebProject/login/login_CheckLogin.action HTTP/1.1" 200 782
